"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
153.00000,-619.901037,1093.752262,-2609.364997,-6.126231,-3.377393,5.361150
154.00000,-988.284963,884.834259,-2286.323062,-6.147741,-3.585596,5.403858
155.00000,-1357.007660,663.646878,-1961.280598,-6.137549,-3.786048,5.427867
156.00000,-1724.158933,430.697247,-1635.349259,-6.095440,-3.977347,5.433511
157.00000,-2087.820797,186.576592,-1309.618735,-6.021358,-4.158105,5.421190
158.00000,-2446.077301,-68.040976,-985.153209,-5.915409,-4.326962,5.391363
159.00000,-2797.024272,-332.400371,-662.987840,-5.777865,-4.482585,5.344547
160.00000,-3138.779072,-605.667954,-344.125324,-5.609164,-4.623686,5.281312
161.00000,-3469.490224,-886.934367,-29.532684,-5.409907,-4.749026,5.202279
162.00000,-3787.347032,-1175.217625,279.861432,-5.180854,-4.857420,5.108113
163.00000,-4090.588579,-1469.467352,583.170575,-4.922919,-4.947752,4.999523
164.00000,-4377.513791,-1768.567593,879.550505,-4.637167,-5.018977,4.877254
165.00000,-4646.489440,-2071.342620,1168.203900,-4.324810,-5.070127,4.742087
166.00000,-4895.959305,-2376.561095,1448.380809,-3.987200,-5.100321,4.594830
167.00000,-5124.452368,-2682.941525,1719.380678,-3.625824,-5.108769,4.436321
168.00000,-5330.590687,-2989.157906,1980.553750,-3.242299,-5.094776,4.267414
169.00000,-5513.097094,-3293.845642,2231.301726,-2.838359,-5.057752,4.088985
170.00000,-5670.830380,-3595.573646,2471.125307,-2.415839,-4.997183,3.901943
171.00000,-5802.676165,-3892.986126,2699.444031,-1.976722,-4.912749,3.707134
172.00000,-5907.728302,-4184.608706,2915.864319,-1.523041,-4.804165,3.505482
173.00000,-5985.177024,-4468.987768,3120.001538,-1.056929,-4.671289,3.297886
174.00000,-6034.341921,-4744.664557,3311.526835,-0.580595,-4.514099,3.085240
175.00000,-6054.678019,-5010.183013,3490.162748,-0.096311,-4.332695,2.868432
