"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
113.00000,-19575.665289,-26928.005324,-10385.476793,8.825788,-2.070753,2.835723
114.00000,-19045.778527,-27037.529445,-10207.463062,8.830706,-1.580229,3.098039
115.00000,-18516.713247,-27117.664686,-10013.740563,8.798420,-1.091525,3.359148
116.00000,-17990.695315,-27168.588351,-9804.418172,8.729170,-0.606902,3.617822
117.00000,-17469.931063,-27190.612350,-9579.678845,8.623375,-0.128600,3.872846
118.00000,-16956.596196,-27184.182569,-9339.777305,8.481629,0.341173,4.123020
119.00000,-16452.825788,-27149.875856,-9085.040268,8.304700,0.800247,4.367168
120.00000,-15960.703597,-27088.397978,-8815.863586,8.093523,1.246509,4.604141
121.00000,-15482.252409,-27000.579551,-8532.711502,7.849200,1.677905,4.832825
122.00000,-15019.424146,-26887.372295,-8236.114019,7.572990,2.092452,5.052144
123.00000,-14574.090301,-26749.844721,-7926.663796,7.266307,2.488253,5.261067
124.00000,-14148.033360,-26589.176311,-7605.014479,6.930710,2.863498,5.458613
125.00000,-13742.937923,-26406.652268,-7271.876834,6.567898,3.216477,5.643854
126.00000,-13360.382792,-26203.657074,-6928.015721,6.179701,3.545590,5.815920
127.00000,-13001.833065,-25981.668185,-6574.245837,5.768070,3.849350,5.974005
128.00000,-12668.633566,-25742.248305,-6211.428765,5.335068,4.126392,6.117369
129.00000,-12362.002068,-25487.038231,-5840.468249,4.882862,4.375484,6.245341
130.00000,-12083.023571,-25217.748793,-5462.306052,4.413710,4.595524,6.357327
131.00000,-11832.645033,-24936.152639,-5077.917457,3.929951,4.785555,6.452804
132.00000,-11611.670863,-24644.075644,-4688.306625,3.433996,4.944761,6.531331
133.00000,-11420.759103,-24343.388066,-4294.501800,2.928312,5.072478,6.592548
134.00000,-11260.418214,-24035.995563,-3897.550406,2.415414,5.168192,6.636176
135.00000,-11131.004595,-23723.830064,-3498.513838,1.897851,5.231545,6.662021
